DRG Charges 871,Provider State
116805.25,CA
88770.05,CA
72633.5,CA
106048.38,CA
125036.55,CA
103808.6,CA
64574.6,CA
98999.5,CA
104215.48,CA
164317.52,CA
48102.92,CA
78070.04,CA
100498.97,CA
58062.69,CA
38634.27,CA
108460.83,CA
108290.95,CA
108488.09,CA
105673.2,CA
59743.11,CA
74561.76,CA
66029.15,CA
98076.51,CA
59639.81,CA
75554.78,CA
87064.85,CA
52870.65,CA
110683.8,CA
88129.48,CA
79816.6,CA
49415.38,CA
78848.87,CA
58633.45,CA
61351.84,CA
68197.74,CA
60474.92,CA
69821.99,CA
51275.52,CA
109600.11,CA
91184.28,CA
88326.59,CA
114276.42,CA
83663.54,CA
74163.93,CA
84207.13,CA
54790.77,CA
,CA
88682.39,CA
97632.57,CA
84566.17,CA
128357.02,CA
125998.03,CA
93882.04,CA
75768.27,CA
85801.39,CA
28887.28,CA
76875.1,CA
48170.59,CA
100467.63,CA
124409.39,CA
173944.99,CA
44707.65,CA
134447.1,CA
61070.4,CA
205579.69,CA
68398.9,CA
72710.8,CA
67097.21,CA
98030.87,CA
61560.09,CA
128515.29,CA
84947.17,CA
106078.18,CA
121075.66,CA
37557.67,CA
57196.54,CA
48740.82,CA
48682.57,CA
114337.38,CA
72575.34,CA
82264.86,CA
124086.38,CA
113643.76,CA
63794.51,CA
75876.55,CA
90575.61,CA
89503.54,CA
135859.08,CA
118676.95,CA
149129.64,CA
170299.82,CA
,CA
80802.77,CA
33658.0,CA
198896.9,CA
179118.32,CA
145360.8,CA
104734.44,CA
32042.61,CA
107589.73,CA
106552.53,CA
52795.65,CA
123735.25,CA
126789.42,CA
148983.66,CA
67860.1,CA
158490.99,CA
94890.11,CA
86244.7,CA
130058.34,CA
98192.52,CA
103573.34,CA
111620.96,CA
128584.22,CA
208412.32,CA
70124.69,CA
90949.0,CA
111471.16,CA
24760.6,CA
62254.81,CA
92111.01,CA
120160.7,CA
81209.11,CA
121313.76,CA
45330.74,CA
84398.28,CA
109502.58,CA
109217.35,CA
171350.74,CA
93837.34,CA
84326.11,CA
85334.03,CA
82469.68,CA
76135.53,CA
117786.33,CA
99827.75,CA
46206.95,CA
74711.93,CA
112626.33,CA
70814.55,CA
83687.74,CA
45335.17,CA
147702.23,CA
96330.06,CA
123394.69,CA
80247.04,CA
110644.54,CA
86605.24,CA
115397.03,CA
46954.53,CA
99578.36,CA
46009.73,CA
114120.55,CA
58411.14,CA
85682.71,CA
36639.1,CA
59439.73,CA
176265.4,CA
262601.34,CA
87295.97,CA
107130.85,CA
37777.31,CA
144093.26,CA
61013.1,CA
67710.89,CA
96941.03,CA
55972.37,CA
84186.86,CA
47843.41,CA
55819.08,CA
94584.12,CA
49913.47,CA
,CA
77455.37,CA
62667.28,CA
59909.47,CA
122383.63,CA
222138.89,CA
101454.43,CA
153131.29,CA
78519.84,CA
157805.3,CA
208581.85,CA
77322.67,CA
121698.29,CA
176981.13,CA
98153.16,CA
76747.0,CA
86643.05,CA
176708.62,CA
63835.76,CA
122693.15,CA
105032.81,CA
127600.88,CA
66016.26,CA
74809.32,CA
45018.54,CA
102080.09,CA
83804.78,CA
85627.48,CA
65528.98,CA
49155.65,CA
161797.89,CA
69800.55,CA
51183.44,CA
,CA
,CA
,CA
153842.13,CA
154472.02,CA
86041.32,CA
60962.87,CA
83035.79,CA
36792.89,CA
143142.19,CA
116242.35,CA
48581.88,CA
61271.42,CA
118170.93,CA
52215.33,CA
49073.3,CA
138710.43,CA
104171.76,CA
52718.31,CA
137984.57,CA
74904.37,CA
67521.31,CA
42916.49,CA
40883.08,CA
81057.44,CA
127477.09,CA
202082.02,CA
98527.03,CA
82872.68,CA
112141.99,CA
43705.77,CA
61977.83,CA
49000.0,CA
88173.44,CA
72021.4,CA
50978.22,CA
132133.78,CA
121118.63,CA
56196.52,CA
119009.88,CA
,CA
83600.15,CA
51705.7,CA
,CA
49093.85,CA
47728.86,CA
,CA
,CA
43045.06,CA
79250.72,CA
,CA
89795.49,CA
105195.32,CA
140319.58,CA
195106.94,CA
106409.14,CA
83177.81,CA
77816.67,CA
101359.89,CA
84132.13,CA
,CA
72512.29,CA
92307.87,CA
77105.29,CA
,CA
56682.04,CA
54865.12,CA
56855.87,CA
57995.87,CA
98169.54,CA
58080.64,CA
65714.5,CA
41795.7,CA
,CA
64174.84,CA
,CA
84754.1,CA
90250.84,CA
59892.2,CA
104849.1,CA
65490.43,CA
66451.86,CA
73538.68,CA
219827.09,CA
108659.27,CA
50248.84,CA
54409.27,CA
55904.06,GA
31252.88,GA
40775.84,GA
77766.05,GA
35854.42,GA
44677.33,GA
74474.36,GA
52022.52,GA
43331.87,GA
35849.83,GA
30407.46,GA
35911.06,GA
52466.18,GA
47686.08,GA
33164.9,GA
16987.94,GA
25090.61,GA
38943.26,GA
50021.84,GA
83850.1,GA
68855.22,GA
22580.97,GA
