DRG Charges 871,Provider State
51108.34,GA
69430.12,GA
35662.74,GA
42803.79,GA
53137.12,GA
,GA
24903.68,GA
53555.66,GA
46772.49,GA
31995.9,GA
47969.79,GA
62005.46,GA
35965.0,GA
20183.06,GA
53577.71,GA
40283.91,GA
36312.46,GA
29724.15,GA
,GA
47160.49,GA
65188.34,GA
40722.36,GA
50705.29,GA
72249.59,GA
38785.72,GA
62515.16,GA
14428.07,GA
43142.98,GA
31950.21,GA
51545.09,GA
21680.36,GA
57251.43,GA
8319.54,GA
30928.02,GA
40588.67,GA
61275.15,GA
31779.27,GA
,GA
,GA
115165.03,GA
20559.62,GA
40065.04,GA
25876.91,GA
87047.48,GA
38956.21,GA
34285.05,GA
,GA
14364.25,GA
26762.24,GA
66183.32,GA
16978.21,GA
27563.77,GA
20716.41,GA
75887.03,GA
69362.78,GA
38919.21,GA
60516.44,GA
95586.29,GA
51963.14,GA
,GA
50781.31,GA
52572.23,GA
76208.64,GA
,GA
143320.81,GA
,GA
50241.72,GA
,GA
55271.32,GA
39221.33,GA
36115.44,GA
51670.38,GA
43828.37,GA
68658.88,GA
,GA
24545.57,IN
54158.18,IN
59279.58,IN
27751.82,IN
43974.06,IN
44201.46,IN
42661.34,IN
39156.0,IN
38995.38,IN
21684.44,IN
46458.92,IN
50525.68,IN
76623.89,IN
43519.64,IN
47973.33,IN
30849.24,IN
40654.63,IN
60961.4,IN
42770.6,IN
28302.17,IN
40097.38,IN
74915.34,IN
24835.36,IN
35821.44,IN
35046.57,IN
31404.22,IN
75898.24,IN
95753.31,IN
28919.33,IN
43734.12,IN
67580.83,IN
35160.22,IN
53856.16,IN
33653.66,IN
21355.65,IN
27008.74,IN
24648.36,IN
33939.29,IN
20303.28,IN
41859.87,IN
51900.9,IN
25801.62,IN
39611.47,IN
50323.95,IN
31878.63,IN
52321.74,IN
61815.46,IN
55562.44,IN
21527.44,IN
30209.14,IN
40665.23,IN
22786.25,IN
28326.41,IN
34145.69,IN
51699.6,IN
30841.31,IN
29357.8,IN
27843.83,IN
46209.83,IN
44152.76,IN
43913.82,IN
60711.89,IN
24474.06,IN
68009.88,IN
,IN
39004.16,IN
49520.51,IN
,IN
53249.63,IN
51218.81,IN
54009.04,IN
,IN
,IN
,IN
45410.66,IN
,IN
45163.73,IN
,IN
50293.52,IN
,IN
,IN
26929.67,IN
,IN
34657.0,IN
26276.69,ME
33809.8,ME
41200.06,ME
36031.32,ME
27334.38,ME
35835.73,ME
30723.26,ME
24601.86,ME
16578.07,ME
38311.57,ME
33168.61,ME
26188.32,ME
34514.59,ME
,ME
20960.19,ME
17889.51,ME
29599.56,ME
75538.21,PA
50138.09,PA
39518.23,PA
48104.2,PA
91483.79,PA
,PA
58351.88,PA
37461.13,PA
28071.56,PA
22958.71,PA
,PA
142678.8,PA
148214.04,PA
67846.34,PA
,PA
23991.28,PA
27606.71,PA
77259.07,PA
21679.47,PA
22436.85,PA
20427.95,PA
18205.43,PA
24073.7,PA
42389.5,PA
43604.74,PA
38074.17,PA
33784.14,PA
38036.36,PA
100784.59,PA
65967.43,PA
13910.56,PA
15606.97,PA
56681.98,PA
59608.28,PA
69647.52,PA
12495.93,PA
81070.32,PA
29684.52,PA
30878.84,PA
34699.0,PA
39984.97,PA
63384.35,PA
53149.54,PA
66531.0,PA
40266.99,PA
75239.14,PA
44952.9,PA
113723.67,PA
128190.7,PA
50279.13,PA
20278.03,PA
65238.31,PA
27481.79,PA
19468.26,PA
52352.62,PA
47296.43,PA
41465.3,PA
33897.59,PA
56293.36,PA
19838.13,PA
60777.46,PA
30487.21,PA
144972.36,PA
12082.41,PA
36805.94,PA
73652.66,PA
60703.91,PA
67190.92,PA
18386.95,PA
14303.16,PA
93009.04,PA
89572.64,PA
27537.8,PA
131212.83,PA
21252.48,PA
96263.29,PA
75713.05,PA
27330.32,PA
102333.89,PA
65041.93,PA
33018.88,PA
18106.18,PA
30710.75,PA
13080.25,PA
31849.43,PA
95651.66,PA
86800.39,PA
,PA
30367.02,PA
86220.0,PA
27995.42,PA
172335.44,PA
39773.93,PA
19218.36,PA
91744.34,PA
38130.82,PA
49451.81,PA
132843.55,PA
49574.91,PA
,PA
41682.05,PA
22972.36,PA
27724.23,PA
91118.51,PA
66571.61,PA
15659.51,PA
15145.24,PA
55473.63,PA
45668.44,PA
52249.91,PA
47442.94,PA
32456.02,PA
25412.85,PA
77426.29,PA
96602.09,PA
88503.88,PA
43000.18,PA
105517.77,PA
31512.1,PA
71410.19,PA
29537.39,PA
27530.12,PA
59071.24,PA
59357.97,PA
52447.89,PA
88177.36,PA
36921.32,PA
29219.3,PA
35954.49,PA
43766.28,PA
82379.56,PA
,PA
,PA
215852.29,PA
75096.3,PA
,PA
,PA
,PA
,PA
,PA
,PA
,PA
,PA
90914.51,PA
,PA
51886.48,PA
68730.75,PA
102208.96,PA
105180.38,TX
40036.1,TX
46565.9,TX
52481.97,TX
78466.44,TX
46717.33,TX
47366.11,TX
42117.31,TX
37495.6,TX
108244.39,TX
84201.99,TX
41824.78,TX
85187.13,TX
58608.69,TX
74620.97,TX
49410.86,TX
55692.89,TX
137310.34,TX
33229.88,TX
46950.78,TX
73893.63,TX
55377.66,TX
44682.52,TX
20272.07,TX
99557.85,TX
72408.66,TX
64465.43,TX
74735.38,TX
43374.13,TX
,TX
53733.0,TX
24267.51,TX
50927.29,TX
96573.51,TX
13880.71,TX
92119.58,TX
,TX
82230.49,TX
120926.18,TX
41296.32,TX
40239.25,TX
84336.11,TX
33731.58,TX
133757.28,TX
28312.72,TX
114560.15,TX
108441.26,TX
35319.67,TX
70546.64,TX
51619.55,TX
55918.96,TX
64640.01,TX
67131.21,TX
15792.3,TX
123800.44,TX
45706.33,TX
45101.05,TX
31697.6,TX
,TX
66107.1,TX
52782.9,TX
46333.48,TX
47080.61,TX
26300.26,TX
42641.06,TX
78123.97,TX
59728.69,TX
34308.9,TX
44205.01,TX
68006.29,TX
78489.25,TX
,TX
54542.44,TX
56532.75,TX
,TX
103467.78,TX
60548.69,TX
51831.73,TX
,TX
26174.38,TX
54682.33,TX
56720.13,TX
43449.76,TX
49522.42,TX
45879.84,TX
32737.03,TX
142259.77,TX
67769.77,TX
51472.77,TX
93453.02,TX
57263.48,TX
42446.97,TX
,TX
34586.86,TX
33778.39,TX
108780.32,TX
,TX
14983.92,TX
48674.55,TX
35283.05,TX
93606.38,TX
71741.11,TX
43031.91,TX
,TX
33381.88,TX
123779.49,TX
,TX
35185.78,TX
,TX
80924.66,TX
76712.07,TX
77015.62,TX
,TX
,TX
61657.75,TX
32695.37,TX
62374.2,TX
50326.39,TX
85654.21,TX
,TX
38509.07,TX
61610.61,TX
60303.56,TX
35892.49,TX
85729.86,TX
50963.4,TX
34109.86,TX
46706.32,TX
23805.71,TX
,TX
21253.0,TX
11283.86,TX
55595.44,TX
96567.27,TX
18479.03,TX
31483.54,TX
27823.24,TX
43398.96,TX
131015.78,TX
,TX
97881.01,TX
101451.26,TX
59135.82,TX
15202.36,TX
83785.95,TX
109471.07,TX
154800.04,TX
115406.05,TX
48424.34,TX
21521.97,TX
80183.24,TX
,TX
107139.69,TX
82379.63,TX
166066.45,TX
92551.7,TX
106990.68,TX
80350.33,TX
102280.22,TX
120863.15,TX
54869.88,TX
102155.93,TX
43382.96,TX
57867.4,TX
75491.96,TX
50153.57,TX
20316.68,TX
61494.41,TX
95507.73,TX
62614.71,TX
94071.7,TX
74376.43,TX
84175.16,TX
100742.5,TX
61068.94,TX
53494.92,TX
72267.01,TX
58235.49,TX
51283.94,TX
30168.56,TX
,TX
,TX
55323.46,TX
,TX
122656.09,TX
63259.56,TX
,TX
104674.83,TX
,TX
51707.41,TX
,TX
,TX
,TX
82139.05,TX
79058.3,TX
87381.13,TX
,TX
23936.64,TX
52745.38,TX
51378.12,TX
,TX
40788.44,TX
82233.77,TX
,TX
36612.06,TX
45960.97,TX
,TX
,TX
41227.98,TX
,TX
,TX
52929.36,TX
,TX
89440.82,TX
55420.2,TX
,TX
,TX
,TX
,TX
41731.59,TX
,TX
,TX
,TX
67893.71,TX
,TX
,TX
45932.4,TX
,TX
,TX
,TX
18087.2,TX
,TX
,TX
,TX
64912.87,TX
95390.43,TX
,TX
48298.25,TX
38051.02,TX
101698.14,TX
74741.7,TX
43362.36,TX
,TX
108635.54,TX
,TX
54530.07,TX
,TX
77651.6,TX
91089.6,TX
,TX
63303.22,TX
,TX
,TX
,TX
59803.82,TX
,TX
,TX
,TX
57931.66,TX
,TX
61091.08,TX
,TX
42949.51,TX
43067.5,TX
49870.01,TX
37240.03,TX
,TX
,TX
60012.12,TX
79568.15,TX
82771.35,TX
89544.43,TX
34461.67,TX
,TX
,TX
,TX
,TX
147342.18,TX
82812.29,TX
