Provider Id,Provider State,DRG Charges 039,DRG Charges 057,DRG Charges 064,DRG Charges 065,DRG Charges 066,DRG Charges 069,DRG Charges 092,DRG Charges 100,DRG Charges 101,DRG Charges 166,DRG Charges 175,DRG Charges 176,DRG Charges 177,DRG Charges 178,DRG Charges 180,DRG Charges 189,DRG Charges 190,DRG Charges 191,DRG Charges 192,DRG Charges 193,DRG Charges 194,DRG Charges 195,DRG Charges 202,DRG Charges 207,DRG Charges 208,DRG Charges 242,DRG Charges 243,DRG Charges 246,DRG Charges 247,DRG Charges 252,DRG Charges 253,DRG Charges 269,DRG Charges 270,DRG Charges 280,DRG Charges 281,DRG Charges 282,DRG Charges 286,DRG Charges 287,DRG Charges 291,DRG Charges 292,DRG Charges 293,DRG Charges 299,DRG Charges 300,DRG Charges 305,DRG Charges 308,DRG Charges 309,DRG Charges 310,DRG Charges 312,DRG Charges 313,DRG Charges 314,DRG Charges 315,DRG Charges 329,DRG Charges 330,DRG Charges 331,DRG Charges 371,DRG Charges 372,DRG Charges 377,DRG Charges 378,DRG Charges 389,DRG Charges 390,DRG Charges 391,DRG Charges 392,DRG Charges 393,DRG Charges 394,DRG Charges 418,DRG Charges 439,DRG Charges 460,DRG Charges 469,DRG Charges 470,DRG Charges 473,DRG Charges 480,DRG Charges 481,DRG Charges 482,DRG Charges 483,DRG Charges 536,DRG Charges 552,DRG Charges 563,DRG Charges 602,DRG Charges 603,DRG Charges 637,DRG Charges 638,DRG Charges 640,DRG Charges 641,DRG Charges 682,DRG Charges 683,DRG Charges 689,DRG Charges 690,DRG Charges 698,DRG Charges 699,DRG Charges 811,DRG Charges 812,DRG Charges 853,DRG Charges 870,DRG Charges 871,DRG Charges 872,DRG Charges 897,DRG Charges 917,DRG Charges 918,DRG Charges 948,DRG Charges 981
10022,AL,,,,,,,,,,,,,,,,,38080.45,25742.93,,,30931.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25273.54,,,,25097.36,,,,,,,,,,,,,
10023,AL,20079.87,20887.79,49162.23,25842.54,24414.21,19614.11,,60554.5,21804.56,,,30631.8,,,37916.67,26917.35,30118.45,22869.65,16291.2,38697.13,26549.34,,20429.09,153638.15,65568.79,83420.9,53589.5,101526.09,58792.19,48808.86,50055.45,89543.33,96502.61,41659.21,26560.57,22577.5,48162.57,25358.78,32393.56,24080.21,13444.04,36213.92,27969.17,19558.8,32243.65,15723.01,9344.21,20104.19,12733.17,54884.58,,104788.82,76404.75,,35583.07,29863.71,43590.73,24443.49,28032.25,,30932.96,23159.38,,24256.26,,18631.55,74190.79,61055.65,38472.06,32744.81,65558.11,38623.78,29762.61,45845.95,15134.84,16379.32,17571.38,,17256.97,43710.51,18234.17,28092.72,19626.74,43864.89,25911.86,27486.3,20517.43,72871.12,25883.83,,14801.93,157813.27,157192.69,60555.8,33299.54,,37791.64,13929.8,18079.41,80310.74
10024,AL,34937.56,31914.58,54511.82,27376.84,18719.35,20058.87,,,19895.24,,,,42893.14,,43869.82,38401.71,48025.84,28208.04,17851.83,50127.4,28191.17,23043.53,32082.11,132247.31,72564.64,123701.14,87011.75,,85555.39,77690.16,84947.32,,,64253.71,28224.53,,50734.55,38100.15,37261.65,21782.2,13536.2,36068.17,25677.56,,46988.58,24456.2,12386.05,18173.05,15524.75,41713.63,29344.21,134073.76,74066.1,,46853.87,29906.2,55773.84,28841.06,28156.5,15845.26,40844.67,21903.4,41601.18,33596.94,,,102088.02,86597.18,54588.64,47362.35,77186.46,52236.25,,70499.1,,18512.06,,43991.36,22646.77,40106.58,23575.74,36467.07,17003.43,34595.25,25045.68,27315.93,19762.52,44953.72,26079.47,45444.12,26439.72,136951.7,141831.39,57223.59,34710.1,,,18044.17,,96125.48
10029,AL,12869.84,18161.45,17937.57,13049.36,10072.5,9525.26,8677.61,,8117.45,55366.11,26034.46,11075.58,18400.65,,,15480.78,13725.95,10079.1,8036.0,16896.46,12467.13,,9465.1,,23379.52,,39222.45,53980.64,38461.98,32087.7,30404.18,52588.33,58199.6,20300.11,19367.0,,34867.82,17510.71,17085.98,12580.49,8468.94,,14013.26,,15522.26,11589.47,8448.68,9165.48,7919.88,22749.78,,58105.36,29639.55,,,8892.38,24085.28,11357.06,11229.12,6633.75,17114.67,8984.76,25478.53,11609.4,24039.61,10023.44,14357.43,46610.71,32760.18,17627.33,31446.0,25729.47,,31075.33,9399.93,9135.67,8921.14,21799.27,11959.07,14945.53,10989.53,12229.86,9010.91,19556.78,10551.72,13585.58,9006.43,16414.54,16897.73,17162.89,9303.89,68611.32,99884.06,22682.44,12154.49,6694.54,12579.0,,9807.36,63950.67
10032,AL,,,,,,,,,,,,,,,,,,,,,12929.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10033,AL,55493.81,39015.15,66486.77,46069.09,30867.39,27456.0,36317.54,98861.74,31851.61,126183.84,55562.62,20801.04,91075.64,32222.57,35925.67,57506.2,33073.63,26162.67,25360.26,44792.49,29502.37,,21186.62,258922.13,105119.42,104770.6,71519.54,138495.78,83477.35,133601.13,93561.4,135558.02,222250.46,50094.23,34012.65,25161.13,89087.62,54161.19,42242.93,30007.12,15830.14,78165.64,37580.15,19562.05,38526.96,24169.69,14590.68,23000.06,25625.55,51410.14,32529.58,169101.84,77208.27,53905.85,36300.35,29576.71,61521.11,34131.58,25525.14,16365.38,31778.73,24939.7,56425.5,34168.51,,25043.26,104700.0,88563.03,52171.17,72197.29,115493.48,66306.48,,64872.78,26420.94,37733.24,,26852.74,22529.52,43698.58,24735.9,39225.07,22970.72,41611.32,21618.27,30944.2,21364.5,47883.33,46122.25,54618.9,22537.1,179587.09,272414.17,62235.64,35473.45,17519.0,54246.0,31017.64,26462.86,158990.81
10034,AL,,,,12538.64,,,,,,,,,,,,,11598.28,12388.5,9011.0,,12370.33,,,,,,,,,,,,,,,,,,17204.39,10444.67,,,,,12380.55,7995.46,,,,,,,,,,,,9801.62,,,,8558.36,,,,,,,,,,,,,,,,,11268.36,,,,,,,,8710.21,,,,,,,20186.63,,,,,,
10035,AL,,,25384.4,26392.39,,21316.95,,,,,32877.64,,46811.5,21257.62,,35394.73,22376.56,15989.8,14124.5,25983.0,25598.23,11606.2,18497.25,,73393.77,,,,65694.22,,,,,29580.02,27143.18,19237.05,37119.57,28395.14,27319.74,17744.6,12882.33,,19023.33,17665.82,24122.51,18747.74,10611.83,15771.93,15746.71,,,,50366.67,34551.44,22520.5,22458.47,36704.06,17673.7,20362.07,,28399.88,16294.34,,,,17818.33,,69841.73,53336.41,,,48112.05,,85600.09,13076.33,21861.0,17707.53,,14689.22,24275.6,16551.04,25376.47,14990.29,26402.63,15636.89,20863.08,17184.33,28636.0,,28443.93,12945.81,78856.3,111108.73,39481.55,23794.02,,23854.53,12981.64,,
10036,AL,,,,37686.51,,25224.09,,,31543.29,,,,,,,45030.68,41094.26,37822.56,23836.65,41280.41,30798.0,21656.0,,,,,,,,,,,,37473.65,31261.06,,,,38407.64,27431.0,23324.7,,,,30591.91,21435.43,19631.85,25934.3,18727.33,,,,69971.83,,,,,38220.04,,,,31817.55,,,,,,,68926.67,,,75039.19,,,,,,,33502.2,,27538.71,,22345.72,33618.7,32062.85,29293.06,27264.0,,,,,86438.91,,55016.47,32249.91,,,,27596.0,
10038,AL,,,,39980.07,,,,,,,,,,,,45699.86,32860.03,32165.05,29994.04,35426.54,27786.93,,25049.85,,97207.07,,,,165493.5,,,,,70737.3,,,,,47754.56,34805.5,30977.79,,52194.07,,,44905.58,,30638.92,37778.4,,,,,,,,,64723.7,,,,39538.65,,,,,,,229770.34,,,,,,,,,,30462.47,,26561.38,,33392.18,,36620.37,,28158.27,,,,,,,63411.8,39470.43,,,,,
