Provider Id,Provider State,DRG Charges 039,DRG Charges 057,DRG Charges 064,DRG Charges 065,DRG Charges 066,DRG Charges 069,DRG Charges 092,DRG Charges 100,DRG Charges 101,DRG Charges 166,DRG Charges 175,DRG Charges 176,DRG Charges 177,DRG Charges 178,DRG Charges 180,DRG Charges 189,DRG Charges 190,DRG Charges 191,DRG Charges 192,DRG Charges 193,DRG Charges 194,DRG Charges 195,DRG Charges 202,DRG Charges 207,DRG Charges 208,DRG Charges 242,DRG Charges 243,DRG Charges 246,DRG Charges 247,DRG Charges 252,DRG Charges 253,DRG Charges 269,DRG Charges 270,DRG Charges 280,DRG Charges 281,DRG Charges 282,DRG Charges 286,DRG Charges 287,DRG Charges 291,DRG Charges 292,DRG Charges 293,DRG Charges 299,DRG Charges 300,DRG Charges 305,DRG Charges 308,DRG Charges 309,DRG Charges 310,DRG Charges 312,DRG Charges 313,DRG Charges 314,DRG Charges 315,DRG Charges 329,DRG Charges 330,DRG Charges 331,DRG Charges 371,DRG Charges 372,DRG Charges 377,DRG Charges 378,DRG Charges 389,DRG Charges 390,DRG Charges 391,DRG Charges 392,DRG Charges 393,DRG Charges 394,DRG Charges 418,DRG Charges 439,DRG Charges 460,DRG Charges 469,DRG Charges 470,DRG Charges 473,DRG Charges 480,DRG Charges 481,DRG Charges 482,DRG Charges 483,DRG Charges 536,DRG Charges 552,DRG Charges 563,DRG Charges 602,DRG Charges 603,DRG Charges 637,DRG Charges 638,DRG Charges 640,DRG Charges 641,DRG Charges 682,DRG Charges 683,DRG Charges 689,DRG Charges 690,DRG Charges 698,DRG Charges 699,DRG Charges 811,DRG Charges 812,DRG Charges 853,DRG Charges 870,DRG Charges 871,DRG Charges 872,DRG Charges 897,DRG Charges 917,DRG Charges 918,DRG Charges 948,DRG Charges 981
50300,CA,,,65208.46,40018.63,,39171.0,,50863.94,32865.82,,,,87089.21,,63283.62,66127.26,69932.55,51528.59,37761.62,73842.0,44433.09,,,397159.36,138384.0,,,,89442.57,118368.19,94198.17,,190602.32,78053.67,46873.19,44771.82,76754.4,54306.73,65405.84,39327.66,28984.59,,43609.73,26987.38,47333.52,37285.3,28002.28,35295.04,29169.83,66865.55,38287.27,,,,67007.45,58327.25,61853.29,43429.89,35438.16,,52149.1,35990.26,,44979.47,,52663.67,208181.34,,100083.6,,111878.0,98579.38,,,,41327.14,,56065.11,46555.68,50054.57,44491.8,44317.11,35446.77,56737.47,45297.7,47431.43,43621.93,93189.84,43066.05,,35271.43,207921.98,259393.58,99827.75,49127.03,,45702.88,,,136083.62
50301,CA,,,48829.64,30252.22,,,,,,,,,59451.83,,,33396.61,35033.47,,,33411.9,24893.55,,,,,,,,,,,,,,,,,,37791.23,25401.67,,,,,33995.45,29998.6,,,,,,,96980.54,,,,,29269.71,,,,25498.52,,,,,,,94314.5,,,84328.55,,,,,,,33460.0,,,,23919.1,,28274.24,,23033.15,30985.09,,,,,,46206.95,30500.49,,,,28217.13,
50305,CA,,41528.08,77960.69,50822.07,44128.09,42590.18,,,41050.09,,,,74276.23,,,52749.06,53217.59,45800.67,,56187.81,43594.94,,40459.33,,,,,,,,,,,68848.62,39487.27,,,,62788.88,38548.64,,,,,68796.08,38464.26,32760.5,43597.73,,96735.08,,195066.53,157550.29,,,,79590.62,46777.09,41327.7,,,42592.73,,,,46558.35,187081.29,,90495.66,132873.83,,89803.19,,89636.29,,46284.29,,,33236.88,,49284.0,44786.31,41126.54,64273.77,39377.55,67416.62,37042.71,63685.33,,,42285.26,214390.4,307261.62,74711.93,45819.27,,52344.7,,,129098.23
50308,CA,68912.33,75097.0,131286.42,79720.83,59755.3,,,117772.93,52896.57,247224.47,109908.36,49547.9,119205.65,75735.58,86783.06,80789.05,87641.57,58656.64,,81390.32,57758.83,42975.1,61694.0,,178219.95,188257.79,127310.91,207807.58,157023.64,223940.35,105196.0,180583.5,377948.91,78574.15,79680.5,,,109090.54,92890.74,62520.86,46893.81,91302.0,78751.64,,74228.89,47124.13,36888.92,49667.11,,118599.0,72143.8,283418.57,154689.84,116600.07,115887.45,57185.86,132327.95,55733.63,49093.29,41103.76,92662.46,49221.81,119561.87,65188.22,132624.5,,300036.13,171925.55,130543.12,183272.95,164512.9,140751.68,101181.21,178543.47,43003.71,54629.23,,108642.06,50865.48,,57575.9,73598.13,48496.88,91981.18,60004.46,63791.97,51677.72,96152.95,65596.31,,46168.93,322897.94,318783.38,112626.33,63365.97,69064.75,88265.75,,62642.08,235830.05
50309,CA,57901.75,41989.78,71706.67,52296.79,44485.3,44639.29,46087.62,,54110.77,121627.7,52629.58,35060.77,61546.57,43723.0,79922.67,56823.31,48558.97,36452.88,37425.18,50668.24,43410.55,30126.53,48883.88,267400.25,112185.15,120441.27,113453.92,203656.28,122018.77,90690.92,,,180214.79,67288.97,49458.44,40606.72,101336.52,58481.83,58641.68,36417.78,32299.69,53807.62,40663.1,,44015.0,40094.82,26883.25,47702.0,43608.28,76442.21,47963.92,226149.81,108961.8,70070.53,80423.33,49042.13,65218.12,42036.4,44042.11,34089.57,60099.88,36426.04,63472.68,50201.04,72366.95,39668.7,155865.06,144809.42,78837.07,107873.71,118900.22,83786.63,78330.95,90936.81,32853.57,46843.26,41977.89,47071.94,33949.18,48840.56,39990.48,45496.76,32017.07,56828.83,36091.94,38515.57,38514.09,68870.14,44957.89,,37536.48,210394.01,274200.2,70814.55,49275.05,,59465.34,48643.82,46372.86,
50313,CA,,,,,,,,,,,,,49751.93,,,58687.42,46809.39,,,58198.18,35537.71,,,,,,,,,,,,,70419.23,,,,,46452.87,41610.62,,,,,63015.31,,,,,,,,,,,,74178.57,43980.65,,,,37400.73,,,,,,,86534.78,,,81150.7,,,,,,,32126.04,,,41318.63,34484.7,54319.5,42298.16,41991.76,44545.5,,,,,147414.4,,83687.74,46317.1,,,,,
50315,CA,,,,34830.73,,,,,,,,,,,,46270.0,,,,,,,,,69847.8,,,,,,,,,,,,,,41958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42149.53,,,62097.48,,,,49619.92,,,32521.23,,,,,,,,,,,,,,,45335.17,27438.31,,43577.75,,,
50320,CA,,52483.63,170115.73,89603.79,,,,,63318.31,,,,,,,147994.18,94122.31,77790.27,50696.42,,72528.33,,,470198.0,173054.75,,,163586.21,122240.5,,,,,102995.73,,,,,116568.55,56811.08,,,,,,74896.64,,63502.41,,133088.0,,,,,,,,61357.32,,,,56517.64,,,,,,,108224.75,,,153128.45,,,,88185.83,,,46239.29,,52826.76,53355.0,50158.74,92804.84,61696.22,,57820.82,,,,,387206.0,444442.76,147702.23,72890.18,69460.4,212043.36,51876.69,,
50324,CA,107933.87,50011.95,140527.03,52615.88,49368.21,45461.67,42083.26,,48411.87,,91038.71,,99793.84,56692.85,,102619.72,82474.16,56189.0,,67051.29,39986.49,,67090.62,,175468.29,165430.62,139398.04,195014.3,106819.17,,217534.08,,225285.5,97839.71,46782.5,,129481.49,74933.25,86254.3,56600.11,36688.08,,,,86814.17,38046.5,29632.71,42419.78,,88576.59,57591.17,412534.5,149803.42,102914.22,,56289.71,84984.36,44494.86,27821.96,29360.23,59267.74,36858.1,80243.29,42621.57,102562.75,,259888.18,201784.0,113462.67,182485.82,155655.0,97957.23,,,44697.78,39109.77,33078.92,56979.06,38753.93,170940.55,,52215.03,39117.63,107878.19,56623.63,43895.37,29104.16,68692.47,47031.57,,,324088.47,421732.16,96330.06,42652.25,32577.91,107455.07,,39365.78,415536.4
50327,CA,,,168253.98,77716.07,62061.07,,,119264.0,56101.57,327982.95,91438.71,,115933.94,,,76481.39,55453.28,,,69604.53,49354.0,,,,179992.17,,,164909.74,122021.02,155090.17,189030.27,,,99626.47,52979.32,,154005.0,79052.63,84051.59,54681.61,44366.74,,,,84745.27,49598.74,43546.53,55786.92,51680.38,167217.89,,325791.24,166980.6,156719.43,84400.93,52169.37,120976.77,61353.71,46680.82,,63503.67,51788.08,92392.36,54004.08,,,185473.45,,89014.16,,,125981.49,96048.42,105614.11,,65048.58,,85643.43,36930.86,134188.73,57657.68,93234.2,46173.25,93673.13,40877.41,54312.74,40572.92,58636.5,66580.35,61145.48,62965.8,413883.29,451379.53,123394.69,52424.12,,92378.85,,46555.27,397978.67
