DRG Charges 190,Provider State
90977.96,CA
57639.0,CA
53833.55,CA
71194.0,CA
72469.62,CA
59910.67,CA
44360.0,CA
65900.57,CA
82052.0,CA
104616.46,CA
28129.0,CA
48562.32,CA
63083.25,CA
36461.26,CA
24602.86,CA
55871.0,CA
92510.29,CA
61300.71,CA
,CA
42910.13,CA
54303.9,CA
47780.89,CA
80173.2,CA
46058.38,CA
51393.85,CA
79985.12,CA
39569.48,CA
68848.94,CA
53743.69,CA
36653.07,CA
60798.91,CA
65701.26,CA
,CA
,CA
,CA
,CA
44947.41,CA
,CA
83978.55,CA
70664.35,CA
66964.25,CA
76127.36,CA
55893.29,CA
,CA
83809.79,CA
35165.7,CA
10885.71,CA
52353.35,CA
73819.44,CA
66748.75,CA
78964.0,CA
85346.82,CA
52879.14,CA
56266.06,CA
54671.12,CA
19886.44,CA
51673.84,CA
,CA
73401.83,CA
94130.0,CA
137754.13,CA
35259.62,CA
122557.44,CA
39510.28,CA
128323.79,CA
41591.36,CA
50574.73,CA
48362.89,CA
66950.34,CA
38620.08,CA
85233.41,CA
56290.01,CA
58774.75,CA
79133.08,CA
,CA
,CA
,CA
,CA
83061.41,CA
45871.7,CA
55955.12,CA
76613.23,CA
103195.17,CA
,CA
61769.24,CA
,CA
54401.41,CA
91493.55,CA
59394.45,CA
102142.96,CA
105359.93,CA
,CA
63909.57,CA
,CA
109768.23,CA
118476.29,CA
121339.15,CA
72659.23,CA
,CA
60233.69,CA
81056.91,CA
33379.51,CA
92672.31,CA
73789.11,CA
86766.34,CA
,CA
103791.75,CA
70170.15,CA
,CA
72638.27,CA
61784.58,CA
80154.35,CA
73998.58,CA
87642.48,CA
94072.75,CA
32485.0,CA
,CA
65123.82,CA
17564.33,CA
40387.53,CA
52027.64,CA
73120.28,CA
47419.95,CA
88504.48,CA
36000.3,CA
52222.47,CA
69922.85,CA
74051.23,CA
89853.0,CA
53001.19,CA
68517.5,CA
66296.94,CA
43378.7,CA
59712.6,CA
77051.43,CA
69932.55,CA
35033.47,CA
53217.59,CA
87641.57,CA
48558.97,CA
46809.39,CA
,CA
94122.31,CA
82474.16,CA
55453.28,CA
50547.36,CA
79512.06,CA
55193.14,CA
70619.91,CA
34334.9,CA
51057.29,CA
34809.78,CA
93505.17,CA
,CA
64490.0,CA
,CA
38481.0,CA
120064.29,CA
171521.47,CA
48394.06,CA
54924.64,CA
,CA
112792.39,CA
38497.19,CA
47806.57,CA
62238.86,CA
53835.55,CA
59989.47,CA
37688.26,CA
,CA
58090.66,CA
35855.68,CA
,CA
61153.23,CA
69767.58,CA
33638.11,CA
85124.57,CA
144785.44,CA
66391.32,CA
83697.51,CA
51169.81,CA
93700.17,CA
139862.26,CA
53639.45,CA
74682.67,CA
131312.19,CA
76165.81,CA
59551.88,CA
52178.1,CA
95186.42,CA
42892.12,CA
88036.43,CA
76284.1,CA
93431.22,CA
,CA
,CA
,CA
69313.1,CA
58167.72,CA
58246.68,CA
34618.45,CA
48615.89,CA
99514.58,CA
51888.32,CA
,CA
,CA
,CA
,CA
112323.98,CA
124206.12,CA
55823.27,CA
,CA
73703.24,CA
27158.43,CA
108417.67,CA
84346.84,CA
,CA
33291.0,CA
97539.48,CA
,CA
,CA
88258.24,CA
61833.82,CA
33870.39,CA
85046.79,CA
53756.25,CA
,CA
22048.18,CA
,CA
57485.87,CA
82568.24,CA
131934.19,CA
86299.79,CA
65880.58,CA
86667.62,CA
24128.68,CA
39482.45,CA
,CA
